                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:        450        291        481        491        565        310        562        241        379        923        726        617        476        552        547        408       1395        283        904        257       1493       1019        582        265
      NET_TX:          0          0          0          0          0          1          0          0          1          0          0          0          0          0          1          0          1          1          0          0          1          0          0          0
      NET_RX:         22          2          1          1          2          0         56          7         36          8         14          8          9         10          0          0          1          4          3          0          0          0          0          0
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:      68659       4512       6408       4254       5931       5327          0          0          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0
       SCHED:       8770       4880       4860       4019       4695       2880       4410       2942       3886       3544       4673       3006       3304       4298       5035       2829       4929       2979       5303       2404       5198       3081       4900       2815
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:       6526       3371       7446       6098       5674       4598       6294       3720       4998       4477       6062       3256       4541       5283       5929       4241       6152       2927       7074       2826       6055       4045       6521       4148
